Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),w,x,y,z,Direct (°),Yaw (°),Pitch (°),Roll (°),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
7.201304616,21.00606833,73.959885,10527.09773,237.3605499,220.9199982,5.5,91.40000153,,,,,,,,,,,,,,,,,
8.202116001,21.00443833,73.95837667,10526.10092,236.8967896,220.9400024,5.5,130.8000031,,,,,,,,,,,,,,,,,
9.206097462,21.00274,73.956905,10510.40436,236.9523773,220.75,5.199999809,126.5,,,,,,,,,,,,,,,,,
10.20638892,21.00108333,73.95540833,10512.50764,236.8020782,220.9299927,4.599999905,115.1999969,,,,,,,,,,,,,,,,,
11.83117131,20.99844667,73.95297833,10507.01364,236.3805237,221.0399933,4.5,113.3000031,,,,,,,,,,,,,,,,,
12.82864677,20.99682833,73.951475,10505.71767,236.5128021,221.0700073,4.300000191,111.1999969,,,,,,,,,,,,,,,,,
13.83061323,20.99521667,73.94996167,10507.32167,236.7542114,221.0500031,4.199999809,96.69999695,,,,,,,,,,,,,,,,,
14.83075008,20.993595,73.94845333,10511.12571,236.5941315,220.9700012,4.099999905,74.69999695,,,,,,,,,,,,,,,,,
15.82870462,20.99198333,73.94695167,10510.42971,236.4474335,221.0200043,4.0,70.59999847,,,,,,,,,,,,,,,,,
16.83114116,20.99037333,73.94545,10510.23371,236.6718445,221.0500031,3.900000095,70.40000153,,,,,,,,,,,,,,,,,
17.83117046,20.98876,73.94395667,10509.63773,236.3249359,220.9299927,3.900000095,71.0,,,,,,,,,,,,,,,,,
18.82820577,20.98714333,73.94245833,10512.24175,236.6049347,220.8600006,3.700000048,65.90000153,,,,,,,,,,,,,,,,,
19.829675,20.98552667,73.94096667,10512.84578,236.7341309,220.9299927,3.700000048,60.09999847,,,,,,,,,,,,,,,,,
20.83067631,20.98391167,73.93947167,10513.64979,236.5740509,221.1100006,3.599999905,55.0,,,,,,,,,,,,,,,,,
21.82919777,20.98230167,73.93796667,10516.35378,236.4206696,221.2400055,3.5,49.5,,,,,,,,,,,,,,,,,
22.83056769,20.98071333,73.93649833,10501.25773,236.1210938,221.1499939,3.400000095,35.70000076,,,,,,,,,,,,,,,,,
23.832932,20.97910667,73.93502,10497.36173,236.7531738,221.3300018,3.299999952,34.79999924,,,,,,,,,,,,,,,,,
24.82860923,20.97749833,73.93352333,10497.16571,236.2847748,221.1199951,3.200000048,31.10000038,,,,,,,,,,,,,,,,,
